Data extracted on 03/02/2024 20:34:08 from [ESTAT];Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15;Column16;Column17;Column18;Column19;Column20;Column21;Column22;Column23;Column24;Column25;Column26;Column27;Column28;Column29;Column30;Column31;Column32;Column33;Column34;Column35
Bosnia and Herzegovina;Natural gas;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;151,827;177,429;184,695;199,743;199,055;187,984;171,475;206,643;:
Bosnia and Herzegovina;Oil and petroleum products (excluding biofuel portion);:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;1478,543;1532,726;1740,68;1732,237;1691,22;1659,974;1543,965;1720,323;:
Bosnia and Herzegovina;Renewables and biofuels;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;958,19;1041,072;1052,991;792,069;1754,024;1795,846;1731,46;1883,841;:
Montenegro;Total;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;1040,666;1151,92;1143,862;1232,87;964,526;1128,993;1133,743;1069,873;994,972;973,891;1018,874;989,693;1037,122;1074,297;1112,236;1022,524;1092,894;:
Montenegro;Solid fossil fuels;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;286,542;318,965;251,418;376,662;206,281;419,716;424,336;381;367,802;358,563;378,361;308,296;314,093;356,401;368,408;382,947;336,02;:
Montenegro;Natural gas;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;:
Montenegro;Oil and petroleum products (excluding biofuel portion);:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;296,576;375,718;407,071;418,714;329,956;311,641;297,831;281,676;273,898;278,07;297,789;329,943;366,462;389,813;409,41;332,547;413,789;:
Montenegro;Renewables and biofuels;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;303,635;296,79;262,931;284,786;337,575;397,463;277,268;302,984;382,937;314,817;297,755;325,315;260,247;344,936;312,698;300,238;357,789;:
Moldova;Total;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;2538,28;2585,353;2532,691;2560,159;2587,948;2602,359;2708,197;2850,473;2988,291;2839,87;2714,524;3008,81;:
Moldova;Solid fossil fuels;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;114,138;118,986;108,526;146,996;92,673;97,075;71,73;101,397;82,784;101,683;77,531;91,351;:
Moldova;Natural gas;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;865,929;838,048;797,377;752,171;765,563;735,103;754,622;753,445;820,218;757,868;772,384;882,993;:
Moldova;Oil and petroleum products (excluding biofuel portion);:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;778,855;811,246;766,144;786,08;806,154;829,082;894,441;935,48;1010,308;1021,535;953,763;1069,36;:
Moldova;Renewables and biofuels;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;518,568;546,565;578,7;588,411;636,198;655,776;701,506;766,772;774,035;657,753;616,951;654,959;:
North Macedonia;Total;2465,773;2423,001;2696,231;2770,811;2497,826;2536,493;2882,676;2628,923;2905,499;2751,971;2698,454;2601,231;2556,573;2785,552;2759,682;2922,88;2965,355;3100,286;3032,264;2817,307;2881,394;3122,366;3004,425;2782,643;2707,262;2661,084;2705,66;2763,277;2592,09;2861,947;2595,981;2678,477;:
North Macedonia;Solid fossil fuels;1326,144;1330,136;1322,557;1326,75;1382,318;1425,157;1378,814;1289,514;1669,262;1463,742;1338,366;1472,899;1290,988;1465,644;1399,641;1465,156;1418,255;1469,02;1480,959;1338,372;1304,849;1459,78;1397,659;1162,993;1083,575;948,274;880,256;972,347;840,246;1038,561;759,96;653,065;:
North Macedonia;Natural gas;0;0;0;0;0;0;0;0;17,369;33,126;54,106;72,034;74,463;66,445;58,491;62,683;67,111;85,641;97,377;64,51;95,55;110,297;114,467;129,557;111,156;111,973;176,056;226,416;208,834;244,132;278,756;353,809;:
North Macedonia;Oil and petroleum products (excluding biofuel portion);1090,188;1014,19;1089,849;1142,819;850,202;831,102;1234,434;1056,922;954,952;948,793;967,653;793,611;898,111;868,988;889,976;912,72;966,554;1043,029;944,803;973,942;945,007;978,292;935,625;912,658;904,738;970,333;1087,892;1036,865;995,816;1084,542;1000,001;1087,919;:
North Macedonia;Renewables and biofuels;42,218;72,915;260,266;249,049;259,028;270,173;271,663;276,297;264,087;315,167;328,7;225,628;224,998;302,341;310,074;344,832;359,093;288,409;274,129;316,837;413,889;343,903;327,182;368,578;353,278;414,424;386,843;357,18;382,125;337,544;357,211;370,638;:
Albania;Total;2672,987;1870,895;1358,214;1331,116;1416,42;1330,28;1419,725;1211,8;1336,329;1843,378;1847,217;1885,842;2083,024;2039,811;2238,419;2250,699;2182,327;2056,525;2140,044;2171,27;2152,188;2245,308;2023,108;2385,743;2375,779;2218,649;2305,608;2412,268;2398,096;2386,443;2214,765;2327,108;:
Albania;Solid fossil fuels;629,581;375,039;95,035;48,43;39,731;18,808;26,566;9,169;11,52;27,976;17,162;19,983;14,576;15,046;15,046;12,695;12,695;12,695;16,457;100,5;110,9;138,974;77,225;67,005;86,449;94,089;49,941;123,149;239,094;123,502;150,666;227,071;:
Albania;Natural gas;203,203;118,229;85,641;68,444;43,573;23,151;19,218;15,284;13,844;13,5;9,007;7,029;11,694;10,791;8,276;9,007;9,007;14,402;7,201;7,352;11,565;12,016;13,22;14,574;24,828;27,365;34,965;37,43;32,31;57,6;41,208;44,269;:
Albania;Oil and petroleum products (excluding biofuel portion);1214,585;812,972;580,982;595,092;694,045;617,522;600,066;478,429;580,742;1053,904;1080,779;1145,239;1316,375;1315,168;1469,736;1502,8;1408,805;1325,223;1359,111;1279,287;1248,964;1238,833;1089,853;1292,67;1363,144;1223,053;1272,804;1354,351;1185,606;1258,737;1094,534;1058,731;:
Albania;Renewables and biofuels;607,906;665,515;640,408;631,446;654,978;677,162;793,651;719,925;697,635;717,216;654,113;563,031;559,382;620,044;704,347;694,296;699,283;461,039;547,989;663,839;862,358;575,002;624,582;811,751;637,643;753,85;951,509;646,725;1019,617;739,722;732,69;1044,157;:
Serbia;Total;19689,163;16668,367;15322,423;13010,339;11985,468;13631,009;16384,282;17342,732;17275,911;12530,745;13570,342;14793,665;15793,234;16603,607;18098,552;16047,368;17065,453;16601,274;16874,035;15230,394;15607,789;16325,133;14610,215;14949,826;13374,319;14833,155;15452,723;15763,122;15545,308;15433,757;15972,234;16251,433;:
Serbia;Solid fossil fuels;10171,691;8659,826;9003,342;8376,213;7670,823;8838,452;9218,279;9511,247;10296,015;7647,668;8644,973;8358,271;8846,911;9438,07;9824,425;8053,662;8759,552;8632,068;8943,622;8018,74;7752,569;8758,448;7621,41;7909,813;6261,011;7739,946;7917,648;7872,652;7548,933;7503,656;7902,413;6986,368;:
Serbia;Natural gas;2587,79;2502,515;2258,598;1407,674;1175,086;1349,334;1945,765;2150,494;2003,224;1448,839;1533,04;1730,761;1740,671;1820,249;2311,758;1946,926;1991,66;2011,156;2001,806;1395,034;1853,375;1902,601;1677,859;1866,552;1608,952;1750,354;1891,37;2117,196;2131,883;1993,255;1989,471;2394,543;:
Serbia;Oil and petroleum products (excluding biofuel portion);5289,488;3865,589;2553,531;1866,412;1744,693;1890,994;3345,738;3972,444;3314,852;1579,623;1486,517;2704,547;3164,3;3551,596;4270,135;4430,193;4686,864;4337,086;4288,878;3970,135;3963,286;3895,444;3434,095;3462,036;3363,289;3489,487;3806,826;3817,053;3833,452;3890,199;3629,615;4043,453;:
Serbia;Renewables and biofuels;1813,453;1835,879;1541,345;1446,024;1502,347;1587,053;1723,167;1638,383;1623,384;1693,824;1647;1652,709;1656,142;1553,796;1715,707;1783,655;1692,487;1617,634;1633,309;1966,791;2054,829;1785,664;1843,403;1929,281;2005,861;1931,442;2001,067;1884,235;2019,856;2038,919;2501,403;2769,708;:
T?rkiye;Total;51909,509;51457,484;53513,351;56844,794;56026,715;61378,427;67114,509;70667,998;71479,318;70505,905;77693,413;71258,361;75728,006;80225,262;82861,14;86341,272;94848,215;102262,149;100138,646;99994,547;105747,791;112994,299;118074,173;114935,521;123323,042;133212,511;140524,909;151300,183;149046,777;151029,796;148599,117;162358,202;:
T?rkiye;Solid fossil fuels;15744,17;16607,481;16721,837;15484,12;15400,407;15964,726;18570,777;20701,556;21085,175;19346,965;23207,558;19053,163;19619,513;22035,061;22343,926;22562,979;26339,992;29695,977;29181,241;30391,843;31094,639;33100,442;34668,155;29819,98;33884,132;34597,909;37870,214;40091,015;40824,691;41823,118;39694,515;41397,682;:
T?rkiye;Natural gas;2855,374;3488,349;3815,155;4240,004;4520,765;5786,995;6986,393;8341,036;8945,916;10591,101;12637,726;13371,819;14735,426;17720,722;18709,415;22791,788;25972,743;30423,732;30192,433;28916,423;31394,991;36788,543;37261,887;37555,782;40204,536;39383,233;38262,359;44232,321;41017,479;37044,69;39670,098;49063,001;:
T?rkiye;Oil and petroleum products (excluding biofuel portion);23714,756;21702,903;22986,897;26531,962;25771,177;28910,287;30337,5;30206,489;29711,354;29690,898;31455,333;29098,241;31058,307;30397,906;31081,526;30953,01;32315,263;32668,7;31478,241;30829,755;31694,334;31798,452;33740,618;33957,865;36723,089;43202,309;46787,599;49229,041;47257,709;47998,77;44293,192;46842,755;:
T?rkiye;Renewables and biofuels;9658,063;9636,997;10000,21;10621,038;10380,711;10776,263;11226,115;11227,945;11478,919;10701,103;10102,159;9377,525;10042,553;10020,818;10782,894;10130,519;10359,1;9603,859;9311,924;9916,2;11626,509;11222,918;12151,463;13064,223;12055,826;15657,665;17135,935;17738,858;19114,538;23339,118;24076,253;24131,148;:
Ukraine;Total;253869,317;254084,396;220131,675;194641,794;165798,92;163688,078;150072,65;143593,133;135733,275;135182,275;133868,366;134162,224;135712,873;140952,194;142064,246;141228,928;135626,388;139717,262;134981,935;114864,837;132795,468;126863,602;122899,079;116383,204;105889,728;93112,957;91863,089;89767,891;93850,613;89641,456;86582,654;:;:
Ukraine;Solid fossil fuels;81097,465;72395,012;71912,258;63889,843;51097,238;50631,932;38136,862;37260,836;38209,533;37807,555;38435,931;37436,91;37607,806;38682,355;36753,689;37176,807;39968,842;42584,702;41686,625;35746,794;38130,913;41382,985;42448,739;41508,77;35508,976;29994,798;29588,829;25636,938;27957,212;25985,907;22780,559;:;:
Ukraine;Natural gas;91853,912;93238,607;86141,101;80434,222;71522,227;68483,792;74492,799;66333,083;59492,24;64536,844;62269,024;62286,049;61499,033;63547,206;64083,19;65665,176;56427,365;55601,999;52819,927;40813,048;55249,957;46853,138;43035,103;39460,942;33450,301;26083,018;25600,064;24553,629;25652,89;23436,853;23924,421;:;:
Ukraine;Oil and petroleum products (excluding biofuel portion);60530,319;67615,251;41819,188;29122,774;23713,3;25146,504;15844,965;18233,115;16906,28;12906,309;12203,159;13665,554;15508,409;16962,256;17848,462;14757,748;14790,947;15500,728;14629,419;14143,219;13452,836;12689,825;11914,458;10020,691;10770,768;10627,293;11306,675;12893,443;13572,374;13596,693;14174,139;:;:
Ukraine;Renewables and biofuels;1263,719;1336,295;975,275;1221,42;1307,557;1120,397;1005,809;1110,051;1615,152;1493,484;1231,489;1297,526;1091,249;1058,575;1274,998;1327,784;1932,018;2386,11;2685,116;2581,908;2734,745;2636,245;2652,461;3173,289;2801,027;2705,213;3621,037;3920,057;4317,454;4348,622;4878,238;:;:
Kosovo*;Total;:;:;:;:;:;:;:;:;:;:;1547,506;1905,304;1897,181;1997,3;2008,568;1949,698;1970,37;2049,066;2219,069;2458,744;2516,715;2540,771;2383,784;2312,354;2217,18;2524,38;2703,587;2568,576;2584,929;2668,905;2665,079;2887,992;:
Kosovo*;Solid fossil fuels;:;:;:;:;:;:;:;:;:;:;968,9;1229,026;1220,827;1303,571;1299,657;1242,262;1236,944;1292,481;1396,176;1585,114;1674,643;1622,899;1532,123;1555,56;1355,198;1557,613;1687,894;1418,006;1434,162;1504,638;1543,645;1567,063;:
Kosovo*;Natural gas;:;:;:;:;:;:;:;:;:;:;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;:
Kosovo*;Oil and petroleum products (excluding biofuel portion);:;:;:;:;:;:;:;:;:;:;330,236;417,498;416,471;433,56;443,495;458,53;483,722;512,986;547,604;585,883;551,903;630,744;582,446;525,933;555,149;679,706;671,954;732,506;734,16;759,886;745,322;853,365;:
Kosovo*;Renewables and biofuels;:;:;:;:;:;:;:;:;:;:;216,471;218,453;219,815;220,961;226,206;226,12;225,198;224,596;239,863;245,271;250,1;251,186;255,973;260,268;264,616;275,796;387,332;386,91;403,85;402,36;403,419;408,508;:
Georgia;Total;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;4248,111;4522,765;4761,584;4920,516;4991,616;4958,421;5206,965;5002,132;5388,242;:
Georgia;Solid fossil fuels;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;315,223;290,868;271,769;261,649;291,568;302,559;241,17;213,048;224,409;:
Georgia;Natural gas;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;1649,826;1883,779;2075,227;1950,892;2054,956;2045,301;2317,363;2325,664;2410,695;:
Georgia;Oil and petroleum products (excluding biofuel portion);:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;1072,382;1128,151;1267,651;1505,132;1391,764;1377,043;1487,474;1374,769;1476,478;:
Georgia;Renewables and biofuels;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;:;1207,756;1198,558;1143,583;1209,723;1183,551;1154,395;1042,033;963,431;1137,778;:
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Special value;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
:;not available;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

